Bellman-Ford-Moore — Batch Results
Generated   : 2026-04-15 16:42:58
Input file  : C:\Users\helen\Desktop\5800FinalProject_BellmanFord\tests\real_world\p2p-gnutella.txt
Test cases  : 1

  I/O Overhead (shared across all test cases)
  io_read_sec        : 0.002210 s

============================================================
TEST CASE #1
============================================================

  Graph Details
  Representation     : LIST
  Vertices           : 10876
  Edges              : 39994
  Source             : 0

  Performance
  enqueue_count          : 23089
  total_relaxations      : 26825
  enqueue_ratio          : 2.12
  max_enqueues           : 6
  elapsed_sec            : 0.020174 s

  Performance Overhead
  graph_build_sec    : 0.008424 s

  Vertex     Distance        Path from source
  --------------------------------------------------
  0          0.0             0
  1          82.0            0 → 1
  2          15.0            0 → 2
  3          4.0             0 → 3
  4          95.0            0 → 4
  5          36.0            0 → 5
  6          32.0            0 → 6
  7          29.0            0 → 7
  8          18.0            0 → 8
  9          95.0            0 → 9
  10         14.0            0 → 10
  11         166.0           0 → 10 → 137 → 493 → 1597 → 920 → 841 → 2416 → 4806 → 3908 → 11
  12         152.0           0 → 1 → 12
  13         94.0            0 → 1 → 13
  14         158.0           0 → 1 → 14
  15         137.0           0 → 1 → 15
  16         87.0            0 → 1 → 16
  17         86.0            0 → 1 → 17
  18         79.0            0 → 10 → 137 → 493 → 1597 → 920 → 1535 → 18
  19         110.0           0 → 1 → 19
  20         34.0            0 → 3 → 20
  21         69.0            0 → 3 → 21
  22         82.0            0 → 3 → 22
  23         8.0             0 → 3 → 23
  24         76.0            0 → 3 → 24
  25         30.0            0 → 3 → 25
  26         96.0            0 → 3 → 26
  27         88.0            0 → 3 → 27
  28         94.0            0 → 3 → 28
  29         74.0            0 → 3 → 29
  30         72.0            0 → 8 → 30
  31         47.0            0 → 8 → 31
  32         76.0            0 → 8 → 32
  33         94.0            0 → 8 → 33
  34         54.0            0 → 8 → 34
  35         19.0            0 → 8 → 35
  36         116.0           0 → 8 → 36
  37         39.0            0 → 8 → 37
  38         108.0           0 → 8 → 38
  39         73.0            0 → 8 → 39
  40         118.0           0 → 3 → 23 → 115 → 397 → 1353 → 3367 → 40
  41         58.0            0 → 10 → 41
  42         210.0           0 → 3 → 23 → 109 → 386 → 1328 → 6340 → 42
  43         186.0           0 → 1 → 12 → 43
  44         69.0            0 → 3 → 25 → 107 → 6479 → 44
  45         161.0           0 → 10 → 137 → 493 → 1597 → 349 → 698 → 1589 → 2433 → 45
  46         161.0           0 → 3 → 26 → 89 → 272 → 985 → 2346 → 2007 → 46
  47         221.0           0 → 1 → 12 → 47
  48         168.0           0 → 1 → 12 → 48
  49         201.0           0 → 1 → 12 → 49
  50         122.0           0 → 3 → 20 → 50
